title;rating;review count;location;Gellak manicure prijs;Duur (min)
FuturebeautybyDi;4,7;161 reviews;Ijselstraat 75 , Amsterdam, 1078 CE;27;35
Chez Anahid Coiffures et Beauté;4,7;329 reviews;Abraham Kuyperlaan 27, Rotterdam, 3038 PB;30,95;40
Beauty and skins;4,8;320 reviews;Amsterdamsestraatweg 290, Utrecht, 3551 CS;32;50
Beauty & Massagesalon Minie;4,3;2161 reviews;Eendrachtsweg 28, Rotterdam, 3012 LB;22;60
Beauty Bar Lima;4,9;61 reviews;Pretorianlaan 13a, Rotterdam, 3072 EE ;49,95;40
Nails by Maria;4,8;743 reviews;Leidsestraat 20B , Haarlem, 2013 XK ;35;45
RITUALS Body Spa Almere;4,6;4378 reviews;De Diagonaal 18, Almere, 1315XD ;38,5;40
Dermathority;4,8;696 reviews;Herenstraat 30A, Amsterdam, 1015 CB;40,5;60
Skin & Beautybar;4,6;1088 reviews;Vleutenseweg 343, Utrecht, 3532 HG;45,5;45
Diamond Corner Beauty;3,4;56 reviews;Wagenstraat 82, Den Haag, 2512 AX;35;50
Briejoux;4,9;148 reviews;Purmerplein 21, Amsterdam, 1023BC;26,5;45
Beauty Boost;4,7;2415 reviews;Zakkendragerssteeg 17, Utrecht, 3511 AA;42,5;70
Original Perfect Hair;4,5;995 reviews;Dorpsstraat 124, Zevenhuizen, 2761 AH;25;30
Reload Club (women only);4,4;2013 reviews;Halmaheirastraat 28, Amsterdam, 1094RL;29,75;40
Ooh Lala Beauty & Huidtherapie;4,8;1208 reviews;Bergselaan 319C, Rotterdam, 3038 CH;79,95;60
Nails by Ellaine @ Gallery Salon Studio;4,8;118 reviews;Bilderdijkstraat 77, Amsterdam, 1053KM;39,5;40
Wimper Huis Leusden;4,7;784 reviews;De Biezenkamp 108A, Leusden, 3831 JA;42;45
Studio Kiss Beauty Care;4,9;597 reviews;Rivierenhof 50, Groningen, 9725HB;33;75
Rayo Beauty;4,6;428 reviews;Traaij 33, Driebergen, 3971 GB;55;100
Kapsones Kappers;4,7;1470 reviews;Doezastraat 31, Leiden, 2311 HA;;
Benaz Hairstylist & Microblading;4,8;198 reviews;Hooigracht 54, Leiden, 2312 KV;60;90
Charly's Beauty & Nails;4,7;487 reviews;Duijvenvoordestraat 159, Monster, 2681 HL;30;40
Asia Wellness;4,6;502 reviews;Herenstraat 71, Rijswijk, 2282 BR ;;
Beauty Lounge Hilversum;4,7;1504 reviews;Gijsbrecht van Amstelstraat 191, Hilversum, 1214 AZ ;;
Beauty & Massagesalon Minie;4,3;2162 reviews;Eendrachtsweg 28, Rotterdam, 3012 LB;22;60
